,Kl1,Kl1,Kl1,Kp1,Kp2,Kp3,Kp4,Kcard,Prand,Km
sub01,200,3,1.8,0.5,0.5,0.8,3,NaN,0.001,40
sub02,200,1.8,1.8,0.5,4,4,10,NaN,0.001,40
sub03,200,1.8,1.8,0.5,4,4,10,NaN,0.001,40
sub04,200,1.8,1.8,0.5,2,4,20,NaN,0.001,40
sub05,200,1.5,1,0.1,0.5,1,1,NaN,0.001,40
sub06,200,3,1.8,0.5,4,6,10,NaN,0.001,40
