-2.2618,1.1952
-1.9409,1.8863
-2.2927,1.9356
-2.1131,1.7449
-2.3682,0.91512
-2.4226,0.74263
-2.0761,1.6282
-2.1007,1.2896
-2.4527,1.2222
NaN,NaN
NaN,NaN
-2.5864,1.3236
-1.9185,1.1915
-2.1873,1.3197
-2.1088,1.3811
-2.2741,1.2157
-2.6391,2.1777
-2.9396,1.8409
-2.7121,1.833
-2.4584,1.6364
-2.3453,1.6025
-2.597,1.5972
22.213,22.258
NaN,NaN
-2.2492,1.7862
-2.1724,2.0212
-2.2014,1.6362
-2.307,1.6655
-2.385,1.6003
NaN,NaN
-2.6339,2.4133
NaN,NaN
21.359,21.696
-3.0147,2.0852
-3.1889,2.7043
22.46,23.153
-2.5922,2.4565
-2.6987,2.2041
-2.4656,1.5985
-2.9733,2.2081
-2.791,2.3667
-2.8281,2.2092
-2.4966,2.1191
-2.4519,2.3675
-2.5629,2.0722
-2.4723,1.9863
-2.498,1.909
-2.5615,2.1277
-2.4942,1.5321
-2.4061,2.0624
-2.2075,2.039
-2.493,2.1426
-2.9191,2.1454
-2.3614,1.5229
-2.3638,1.7335
-2.4846,1.8379
-2.4831,2.2834
-2.2919,2.1037
-1.9977,1.9323
-2.5822,2.1864
-2.8542,2.5511
-2.8302,2.3866
-2.6537,2.3969
-2.8212,1.9373
-2.6774,1.9067
-2.6078,2.0361
-2.5132,1.5218
-2.8199,1.7605
-2.636,1.4126
-2.7124,2.0128
-2.7589,2.075
-2.7014,2.1556
-2.915,2.596
-3.0381,2.6314
-2.9624,2.415
-2.9277,2.3189
-2.3454,2.3041
-2.3125,1.9331
-1.8914,2.1329
-2.3289,2.011
-2.4567,2.1546
-2.794,1.7346
-3.1401,2.3359
-2.8335,2.3027
-2.4502,1.985
-2.5497,2.1282
-2.3874,2.2941
-2.3727,2.095
-2.8187,2.2359
-2.3411,1.6275
-2.0498,1.4942
-2.1589,1.413
-2.4094,1.9274
-2.1859,1.7219
-2.1643,2.1052
-2.8427,2.0544
-2.2739,1.9431
-2.6944,2.056
-2.2691,1.7595
-2.7239,1.7735
-2.3349,1.9009
-2.8082,2.3902
-2.6779,2.1853
-2.2788,1.8648
-2.4652,1.7843
-2.5624,2.5103
-2.6595,2.0466
-2.0463,1.5801
-2.4462,1.9154
-2.8037,1.436
NaN,NaN
-3.1668,1.7556
-2.2548,1.2576
-2.0615,1.2541
-2.3496,1.7971
-2.1635,1.4609
-2.7111,1.3436
-2.0255,0.88548
-2.2411,1.4726
-2.4234,1.3937
-2.046,1.2456
-2.1161,1.1826
-2.1086,1.1749
-2.0095,0.97983
-2.2492,1.2788
-3.1177,1.5014
-2.6334,1.3197
-2.2942,1.0117
-2.7936,0.51296
-1.6232,0.84296
-2.3341,0.93294
-2.7346,1.0539
-2.1972,0.60001
-2.6275,0.55723
-2.2164,0.44977
-2.2501,0.92822
-2.1216,1.2912
-2.5853,1.3394
-2.1767,1.3004
-2.6026,1.2657
-3.0369,1.8126
-3.1638,1.9883
-3.1372,1.6793
-2.9936,2.5981
-2.8794,2.4025
-2.6215,2.2248
-3.2417,1.6943
-2.6891,1.8938
-2.4487,1.6961
-2.6872,1.7124
-2.569,2.3357
-2.7131,2.0672
-2.839,2.1808
-2.9568,2.3067
-2.8717,1.9629
-2.9775,1.8725
-2.1563,2.2438
-2.4212,1.4875
-2.5752,0.74008
-2.4139,1.1122
-2.355,1.3059
-1.7345,0.59168
-2.3043,0.61473
-2.2284,1.4573
-2.3772,0.6088
-2.5923,-0.00044304
-1.9373,0.73254
-2.2753,1.4974
-2.0203,0.66988
-2.3083,1.885
-2.5413,2.0078
-2.7625,1.539
-2.8138,1.6183
-2.6962,2.0278
-2.741,1.8863
-3.1473,1.6402
-2.7672,1.4931
-3.0561,1.8497
-2.6005,1.7838
-3.0625,1.914
-2.7777,1.2128
-2.2313,0.85676
-2.4926,0.17042
-1.4868,0.19092
-1.7533,0.66699
-2.4973,1.4029
-2.5529,1.1776
-2.7966,1.2792
-2.9661,2.4659
-2.7764,2.1292
-2.839,1.6298
-2.6716,1.6797
-2.7813,1.7133
-2.8854,2.1394
-2.8767,1.6507
-2.5103,1.3616
-2.3586,1.2754
-2.4671,1.1427
-3.1328,1.6944
-2.5509,1.07
-2.1992,0.57543
-1.7636,0.63808
-1.9163,0.021821
-1.5328,0.28773
-1.5008,0.1325
-2.0496,1.0412
-2.0003,0.45463
-1.6493,0.0023483
-1.9069,-0.36166
-1.3633,-0.17721
-2.4642,0.64031
-2.556,2.0742
-2.2042,2.2225
-2.9003,1.7032
-2.9832,1.6902
-0.38928,0.52821
-1.2827,0.90079
-1.4375,1.485
-1.6896,1.4124
-1.3082,1.8612
-1.1833,1.5682
-1.345,1.3777
-1.3397,1.8098
-1.484,1.6887
-0.98464,1.5719
-1.8737,1.8439
-1.7082,1.3453
-1.7299,1.1143
-1.1548,1.1361
-0.96571,1.0613
-1.7028,1.3369
-1.1414,1.3949
-1.8146,1.8109
-1.3099,1.3331
-1.533,1.2908
-1.647,1.2942
-2.0417,1.8787
-1.9509,1.8643
-2.0043,1.9051
-1.778,1.5717
-1.8127,1.0943
-2.0916,2.0112
-2.0204,1.9098
-2.1619,1.8
-1.9182,1.6025
-1.8964,1.716
-1.7947,2.2505
-1.5024,1.3827
-1.3878,1.5069
-1.8634,1.1218
-2.2312,2.4164
-1.9903,2.0448
-2.3283,2.2642
-2.0364,1.7933
-1.2903,1.1324
-1.7422,1.512
-1.5844,0.98271
-1.4711,1.087
-1.4218,0.94968
-1.4386,0.98979
-1.5453,0.81862
-1.5675,1.3498
-1.3132,1.0707
-1.7874,1.4984
-1.9785,0.91948
-1.9308,1.3086
-1.8681,1.4426
-1.9848,1.6561
-2.0641,1.8693
-1.8844,1.9653
-1.873,1.5853
-1.9413,1.7348
-1.7407,1.5547
-2.2132,1.6184
-1.881,1.684
-1.3543,1.9122
-2.4571,1.8324
-1.9059,1.8411
-1.6659,1.6303
-1.67,1.4915
-2.1387,1.1178
-1.8473,1.2326
-1.5693,1.516
-1.8199,1.3393
-2.1544,1.0356
-1.7713,1.1181
-1.6367,1.9359
-1.8837,1.203
-1.8378,1.2179
-1.7966,1.6142
-1.3629,1.4681
-2.3733,1.7467
-1.6589,1.0722
-1.8371,1.9893
-2.6712,1.506
