Akaike information criterion (AIC),sub01,sub02,sub03,sub04,sub05,sub06,sub07,sub08,sub09,sub10,sub11,sub12
Basic Bayesian observer,77182.7,74175.23,84145.32,46451.09,61913.16,75357.9,54584.24,62731.75,84927.68,62633.63,63233.81,66099.47
Switching observer,77120.91385,72526.39578,83476.32271,46181.45005,61884.72626,75258.98979,54242.02791,61913.04604,84581.774,62219.2842,62860.08549,65240.43474
Bayesian sampling observer,76927.67534,72915.52233,84072.65897,46327.09858,62044.83134,75303.6298,54176.82698,61911.23149,84340.99204,61914.41959,62973.34444,65530.52533
Bayesian sampling with cardinal observer,76929.69246,72967.33178,84061.94317,46358.33057,61978.4797,75036.79803,54178.84558,62381.89622,84344.80457,62146.94279,63193.3783,65531.65891
Bayesian observer with long-tailed likelihood and prior,77568.77228,72651.70403,84123.40485,46851.82928,61737.48121,75395.25859,54599.77943,61930.22561,84424.10913,61739.06173,63659.27283,66434.67041
Bayesian observer with long-tailed likelihood,76742.14114,74137.13719,84628.7679,46415.74573,61693.00677,75550.64219,54389.19311,62720.17202,85146.26824,62546.50556,63662.89032,65595.13615
Bayesian observer with cardinal prior,77217.61009,73932.84022,84204.15083,46486.6467,61914.74552,75335.91242,54613.11962,62702.569,85033.55837,62495.92284,63245.83529,66106.22149
Bayesian observer with long-tailed prior,77089.21019,75181.67208,84774.4863,46542.19798,61855.53842,75485.14734,54612.89603,62238.42656,84875.66547,62766.32738,63177.02813,66160.08483
